Implement,Name,SamAccountName,GroupCategory,GroupScope,DisplayName,Description
Yes,BizTalk_SSOAdministrators_PRD,BizTalk_SSOAdministrators_PRD,Security,Global,BizTalk_SSOAdministrators_PRD,BizTalk_SSOAdministrators_PRD
Yes,BizTalk_SSOAffiliateAdministrators_PRD,BizTalk_SSOAffiliateAdministrators_PRD,Security,Global,BizTalk_SSOAffiliateAdministrators_PRD,BizTalk_SSOAffiliateAdministrators_PRD
Yes,BizTalk_ServerAdministrators_PRD,BizTalk_ServerAdministrators_PRD,Security,Global,BizTalk_ServerAdministrators_PRD,BizTalk_ServerAdministrators_PRD
Yes,BizTalk_ServerOperators_PRD,BizTalk_ServerOperators_PRD,Security,Global,BizTalk_ServerOperators_PRD,BizTalk_ServerOperators_PRD
Yes,BizTalk_ApplicationUsers_PRD,BizTalk_ApplicationUsers_PRD,Security,Global,BizTalk_ApplicationUsers_PRD,BizTalk_ApplicationUsers_PRD
Yes,BizTalk_IsolatedHostUsers_PRD,BizTalk_IsolatedHostUsers_PRD,Security,Global,BizTalk_IsolatedHostUsers_PRD,BizTalk_IsolatedHostUsers_PRD
Yes,BizTalk_SSOAdministrators_TST,BizTalk_SSOAdministrators_TST,Security,Global,BizTalk_SSOAdministrators_TST,BizTalk_SSOAdministrators_TST
Yes,BizTalk_SSOAffiliateAdministrators_TST,BizTalk_SSOAffiliateAdministrators_TST,Security,Global,BizTalk_SSOAffiliateAdministrators_TST,BizTalk_SSOAffiliateAdministrators_TST
Yes,BizTalk_ServerAdministrators_TST,BizTalk_ServerAdministrators_TST,Security,Global,BizTalk_ServerAdministrators_TST,BizTalk_ServerAdministrators_TST
Yes,BizTalk_ServerOperators_TST,BizTalk_ServerOperators_TST,Security,Global,BizTalk_ServerOperators_TST,BizTalk_ServerOperators_TST
Yes,BizTalk_ApplicationUsers_TST,BizTalk_ApplicationUsers_TST,Security,Global,BizTalk_ApplicationUsers_TST,BizTalk_ApplicationUsers_TST
Yes,BizTalk_IsolatedHostUsers_TST,BizTalk_IsolatedHostUsers_TST,Security,Global,BizTalk_IsolatedHostUsers_TST,BizTalk_IsolatedHostUsers_TST
Yes,BizTalk_SSOAdministrators_DEV,BizTalk_SSOAdministrators_DEV,Security,Global,BizTalk_SSOAdministrators_DEV,BizTalk_SSOAdministrators_DEV
Yes,BizTalk_SSOAffiliateAdministrators_DEV,BizTalk_SSOAffiliateAdministrators_DEV,Security,Global,BizTalk_SSOAffiliateAdministrators_DEV,BizTalk_SSOAffiliateAdministrators_DEV
Yes,BizTalk_ServerAdministrators_DEV,BizTalk_ServerAdministrators_DEV,Security,Global,BizTalk_ServerAdministrators_DEV,BizTalk_ServerAdministrators_DEV
Yes,BizTalk_ServerOperators_DEV,BizTalk_ServerOperators_DEV,Security,Global,BizTalk_ServerOperators_DEV,BizTalk_ServerOperators_DEV
Yes,BizTalk_ApplicationUsers_DEV,BizTalk_ApplicationUsers_DEV,Security,Global,BizTalk_ApplicationUsers_DEV,BizTalk_ApplicationUsers_DEV
Yes,BizTalk_IsolatedHostUsers_DEV,BizTalk_IsolatedHostUsers_DEV,Security,Global,BizTalk_IsolatedHostUsers_DEV,BizTalk_IsolatedHostUsers_DEV
